<COMMENT, // Test nested patterns and repeat instructions>
<KEYWORD, title>
<STRINGLITERAL, "Nested Patterns Test">
<KEYWORD, composer>
<STRINGLITERAL, "Nested Composer">
<KEYWORD, staff>
<IDENTIFIER, Bass>
<KEYWORD, clef>
<IDENTIFIER, F>
<KEYWORD, timeSig>
<INTLITERAL, 3>
<OPERATOR, />
<INTLITERAL, 4>
<KEYWORD, keySig>
<KEYSIG, D Minor>
<KEYWORD, pattern>
<IDENTIFIER, Bassline>
<DELIMITER, {>
<KEYWORD, note>
<NOTE, D3>
<KEYWORD, duration>
<DURATION, quarter>
<KEYWORD, note>
<NOTE, F3>
<KEYWORD, duration>
<DURATION, quarter>
<KEYWORD, note>
<NOTE, A3>
<KEYWORD, duration>
<DURATION, quarter>
<DELIMITER, }>
<KEYWORD, pattern>
<IDENTIFIER, Melody>
<DELIMITER, {>
<KEYWORD, note>
<NOTE, F4>
<KEYWORD, duration>
<DURATION, quarter>
<KEYWORD, repeat>
<INTLITERAL, 3>
<DELIMITER, {>
<KEYWORD, pattern>
<IDENTIFIER, Bassline>
<DELIMITER, }>
<DELIMITER, }>
<KEYWORD, end>
